gene_id	chrom	start	end	strand
ENSG00000184347	5	168088745	168728133	-1
ENSG00000144395	2	197504278	197628214	1
ENSG00000113971	3	132276986	132441303	-1
ENSG00000040275	5	169010638	169031782	1
ENSG00000119041	2	197627756	197664449	-1
ENSG00000129048	3	132316081	132337811	1
ENSG00000081307	3	132373290	132396941	1
ENSG00000134516	5	169064251	169510386	1
ENSG00000144868	3	132757235	133116636	1
ENSG00000187944	2	197669726	197675000	-1
ENSG00000197121	2	197699908	197792520	-1
ENSG00000170819	3	133118839	133194066	1
ENSG00000091527	3	133292574	133309105	1
ENSG00000163781	3	133317019	133380737	-1
ENSG00000213186	3	160150233	160203561	-1
ENSG00000186432	3	160212783	160283376	-1
ENSG00000179674	3	160394948	160396233	1
ENSG00000163590	3	160473390	160796695	1
ENSG00000169255	3	160801671	160823172	-1
ENSG00000091513	3	133464800	133497850	1
ENSG00000169251	3	160822484	160971320	1
ENSG00000204767	5	169291268	169407744	-1
ENSG00000168269	5	169532901	169536727	1
ENSG00000196542	3	161062580	161090668	-1
ENSG00000182447	3	161214596	161221730	1
ENSG00000090402	3	164696686	164796283	-1
ENSG00000043462	5	169673241	169725231	-1
ENSG00000144867	3	133502877	133544616	1
ENSG00000115524	2	198256698	198299815	-1
ENSG00000121871	3	164904508	164914897	-1
ENSG00000114200	3	165490692	165555260	-1
ENSG00000115540	2	198380295	198418423	1
ENSG00000169064	3	166958075	167099134	-1
ENSG00000182132	5	169780491	170163636	1
ENSG00000129055	3	134196548	134205558	-1
ENSG00000154917	3	133543083	133614680	-1
ENSG00000182923	3	134204585	134293859	1
ENSG00000114204	3	167159577	167196792	-1
ENSG00000174640	3	133651540	133771028	-1
ENSG00000174776	3	167196472	167371771	-1
ENSG00000145936	5	169805168	169816681	-1
ENSG00000164438	5	170736288	170739138	1
ENSG00000118242	2	216807557	216898819	-1
ENSG00000163785	3	133794023	133969689	-1
ENSG00000181163	5	170814120	170838141	1
ENSG00000094755	5	170190354	170241051	1
ENSG00000115520	2	198318147	198340032	1
ENSG00000115425	2	216861052	216947678	-1
ENSG00000163449	2	216946589	216967506	1
ENSG00000154928	3	134316643	134979309	1
ENSG00000079246	2	216972187	217071026	1
ENSG00000114019	3	134074716	134094321	-1
ENSG00000163536	3	167453031	167543356	1
ENSG00000174611	3	134321980	134370478	-1
ENSG00000204764	5	170288874	170727019	1
ENSG00000173905	3	167726465	167813763	-1
ENSG00000144583	2	217122588	217236750	-1
ENSG00000138375	2	217277137	217347776	1
ENSG00000119042	2	200134223	200335989	-1
ENSG00000085276	3	168801287	169381406	-1
ENSG00000115541	2	198364718	198368181	1
ENSG00000073711	3	135684515	135866733	1
ENSG00000122085	2	242014469	242041747	-1
ENSG00000156427	5	170846660	170884627	1
ENSG00000185662	5	171212876	171221602	1
ENSG00000197756	2	217362912	217443903	1
ENSG00000072803	5	171288553	171433877	-1
ENSG00000115457	2	217497551	217529159	1
ENSG00000226124	2	200625267	200715896	-1
ENSG00000115461	2	217536828	217560248	-1
ENSG00000118245	2	217724181	217724787	-1
ENSG00000178074	2	200775979	200820658	1
ENSG00000162971	2	200794698	200820459	-1
ENSG00000079308	2	218664512	218867718	-1
ENSG00000115685	2	242088991	242123067	1
ENSG00000184378	3	169484713	169487683	-1
ENSG00000085274	3	169490853	169507504	1
ENSG00000113742	5	173315283	173388979	1
ENSG00000118017	3	137842560	137851229	-1
ENSG00000171757	3	169511216	169530774	-1
ENSG00000138231	3	137879854	137893791	-1
ENSG00000146205	2	242127924	242164792	1
ENSG00000072786	5	171469077	171615390	-1
ENSG00000188306	3	169539710	169555563	1
ENSG00000162972	2	200820040	200873263	1
ENSG00000114098	3	137906109	138017231	1
ENSG00000114248	3	169556967	169587718	-1
ENSG00000115677	2	242166679	242256476	-1
ENSG00000187033	3	169629360	169656963	1
ENSG00000196141	2	201170604	201343253	1
ENSG00000008952	3	169684423	169716161	1
ENSG00000185056	5	173400782	173433143	1
ENSG00000013441	2	201717732	201729422	-1
ENSG00000188282	2	218899683	218955304	1
ENSG00000214360	5	171621176	171630456	1
ENSG00000170091	5	173472607	173670504	1
ENSG00000168246	5	171636644	171711075	-1
ENSG00000173890	3	169755717	169803191	1
ENSG00000174705	5	171752185	171881527	-1
ENSG00000180871	2	218990012	219001976	1
ENSG00000120149	5	174151536	174158144	1
ENSG00000214357	5	172068269	172118543	1
ENSG00000173889	3	169804520	169899537	-1
ENSG00000184845	5	174867675	174871163	-1
ENSG00000120129	5	172195093	172198198	-1
ENSG00000164466	5	174904065	174956745	1
ENSG00000113719	5	172261278	172379688	1
ENSG00000163464	2	219027568	219031718	-1
ENSG00000163466	2	219081817	219119079	1
ENSG00000118007	3	136055077	136471220	-1
ENSG00000240344	2	201735630	201754026	-1
ENSG00000179921	2	219124219	219128582	1
ENSG00000155729	2	201353675	201384507	-1
ENSG00000127837	2	219128850	219134980	-1
ENSG00000113749	5	175085033	175113245	1
ENSG00000163584	3	170582664	170588272	-1
ENSG00000037241	5	172385732	172396774	1
ENSG00000145920	5	175223313	175311023	1
ENSG00000163558	3	169940153	170023769	1
ENSG00000135926	2	219138915	219157309	-1
ENSG00000181322	3	137980279	138048728	-1
ENSG00000163535	2	201374731	201448505	1
ENSG00000113732	5	172410760	172462448	1
ENSG00000136603	3	170075466	170114623	1
ENSG00000163577	3	170606204	170626482	-1
ENSG00000164463	5	172483355	172566291	1
ENSG00000051596	5	175344876	175461683	-1
ENSG00000163581	3	170714137	170744539	-1
ENSG00000127838	2	219135115	219211516	1
ENSG00000138356	2	201450591	201541787	1
ENSG00000013297	3	170136653	170578169	1
ENSG00000158186	3	138066539	138124375	1
ENSG00000154310	3	170779128	171178197	-1
ENSG00000013293	3	170182353	170303863	-1
ENSG00000168917	3	136537489	136574734	1
ENSG00000158092	3	136581050	136668665	1
ENSG00000113734	5	172571445	172591390	1
ENSG00000158220	3	138153428	138200528	1
ENSG00000174564	3	136665072	136729927	1
ENSG00000158428	2	219221579	219232822	1
ENSG00000018280	2	219246752	219261617	1
ENSG00000183072	5	172659112	172662360	-1
ENSG00000168875	3	137483579	137484396	1
ENSG00000066405	3	137717577	137752494	1
ENSG00000113739	5	172741716	172756506	-1
ENSG00000158163	3	137780832	137834660	-1
ENSG00000144579	2	219262979	219270664	1
ENSG00000145919	5	173034517	173043663	-1
ENSG00000170085	5	175665365	175772994	1
ENSG00000127831	2	219283815	219318018	1
ENSG00000003402	2	201980827	202029033	1
ENSG00000075651	3	171318195	171528740	-1
ENSG00000135913	2	219314974	219433084	-1
ENSG00000122203	5	175773064	175788971	-1
ENSG00000158234	3	138327448	138352218	1
ENSG00000144580	2	219433303	219461803	1
ENSG00000175414	5	175792471	175828866	1
ENSG00000186329	3	171561139	171656505	1
ENSG00000075420	3	171757418	172119455	1
ENSG00000051382	3	138372860	138553780	-1
ENSG00000115556	2	219472488	219501907	1
ENSG00000146066	5	175815748	175816772	1
ENSG00000175416	5	175819456	175843570	-1
ENSG00000113194	5	175874629	175937075	1
ENSG00000074582	2	219523487	219528166	1
ENSG00000121853	3	172162923	172166246	-1
ENSG00000121858	3	172223298	172241297	-1
ENSG00000183770	3	138663066	138665982	-1
ENSG00000206262	3	138666076	138672293	1
ENSG00000144959	3	172348039	172429008	-1
ENSG00000206260	3	138722804	138725110	-1
ENSG00000175110	3	138724648	139076065	1
ENSG00000146083	5	175953698	175965026	-1
ENSG00000114346	3	172468472	172539264	1
ENSG00000163481	2	219528587	219537134	-1
ENSG00000074276	5	175969512	176022975	1
ENSG00000163482	2	219536749	219567439	1
ENSG00000184814	3	138737873	138739768	-1
ENSG00000144962	3	172607148	172859058	-1
ENSG00000184432	3	139074442	139108574	-1
ENSG00000169760	3	173114074	174004434	1
ENSG00000135912	2	219575568	219620139	1
ENSG00000169258	5	176022803	176037134	-1
ENSG00000074317	5	176047085	176057530	-1
ENSG00000177694	3	174156363	175523428	1
ENSG00000177565	3	176737143	176915261	-1
ENSG00000135929	2	219646472	219680016	1
ENSG00000197584	3	177990720	178562217	1
ENSG00000172667	3	178735011	178790067	-1
ENSG00000121879	3	178865902	178957881	1
ENSG00000135925	2	219745085	219764303	1
ENSG00000171450	2	219824377	219826876	1
ENSG00000163497	2	219845809	219850379	-1
ENSG00000164611	5	159848829	159855748	1
ENSG00000017260	3	130569439	130735556	1
ENSG00000118322	5	159990127	160279221	-1
ENSG00000145864	5	160715436	160976050	-1
ENSG00000138378	2	191894302	192016322	-1
ENSG00000145863	5	160974069	161129599	1
ENSG00000022355	5	161274197	161326975	1
ENSG00000128641	2	192109911	192290115	1
ENSG00000113327	5	161494546	161582542	1
ENSG00000113328	5	162864575	162873157	1
ENSG00000170584	5	162880494	162887146	-1
ENSG00000137841	15	40570377	40600136	-1
ENSG00000072571	5	162887175	162918947	1
ENSG00000034533	3	130732719	130746493	-1
ENSG00000173559	2	192542794	192553251	1
ENSG00000230778	15	40573645	40574787	-1
ENSG00000188549	15	40623653	40633168	-1
ENSG00000114670	3	130745694	131069309	1
ENSG00000233041	15	40643234	40648635	1
ENSG00000140323	15	40650436	40663257	1
ENSG00000128944	15	40674922	40686446	1
ENSG00000168497	2	192699028	192711981	-1
ENSG00000144339	2	192813769	193060435	-1
ENSG00000128928	15	40697686	40728146	1
ENSG00000038274	5	162930120	162946342	1
ENSG00000179431	11	35639735	35642419	1
ENSG00000166326	11	35684353	35829775	1
ENSG00000198585	3	131100515	131107674	1
ENSG00000179241	11	35965531	36253686	1
ENSG00000140320	15	40731920	40760441	1
ENSG00000114686	3	131181068	131221827	-1
ENSG00000141504	17	7529552	7531194	-1
ENSG00000169105	15	40763160	40765353	1
ENSG00000128891	15	40820882	40857256	-1
ENSG00000110442	11	36295051	36310999	-1
ENSG00000196950	2	196440701	196602426	1
ENSG00000145934	5	166711804	167691162	1
ENSG00000166133	15	40861499	40866659	1
ENSG00000137812	15	40886218	40956540	1
ENSG00000146463	1	35734568	35887659	1
ENSG00000196353	3	131252399	132004254	-1
ENSG00000135362	11	36317838	36486754	1
ENSG00000129244	17	7549945	7561086	1
ENSG00000118997	2	196602427	196933536	-1
ENSG00000141510	17	7565097	7590856	-1
ENSG00000051180	15	40986972	41024354	1
ENSG00000113645	5	167718656	167899308	1
ENSG00000175104	11	36508577	36531822	-1
ENSG00000166349	11	36532259	36614706	1
ENSG00000014257	3	132036211	132087142	1
ENSG00000175097	11	36597124	36619829	-1
ENSG00000137824	15	41028082	41048049	-1
ENSG00000142687	1	35899091	36023551	-1
ENSG00000138246	3	132136370	132257876	1
ENSG00000166352	11	36616051	36694823	1
ENSG00000137880	15	41056218	41059906	1
ENSG00000104129	15	41060067	41099675	-1
ENSG00000141499	17	7589389	7606820	1
ENSG00000188277	15	41062159	41064647	1
ENSG00000166140	15	41099284	41106767	1
ENSG00000111913	6	24797601	25042238	-1
ENSG00000148948	11	40135753	41481323	-1
ENSG00000071575	2	12857015	12882860	1
ENSG00000166181	11	43333513	43366079	1
ENSG00000196184	1	159409512	159410600	1
ENSG00000184155	1	159504793	159505842	-1
ENSG00000155252	10	99344131	99436191	1
ENSG00000132703	1	159557615	159558655	1
ENSG00000108947	17	7608520	7614696	1
ENSG00000162981	2	14772810	14790933	1
ENSG00000132693	1	159682079	159684379	-1
ENSG00000183914	17	7620672	7737062	1
ENSG00000166143	15	41107650	41120907	-1
ENSG00000100867	14	24099324	24114848	1
ENSG00000166145	15	41136216	41150405	1
ENSG00000151779	2	15307032	15701454	-1
ENSG00000052841	11	43380482	43516483	1
ENSG00000104140	15	41164412	41166487	-1
ENSG00000104142	15	41186628	41196173	1
ENSG00000158716	1	159750722	159752333	1
ENSG00000132510	17	7743222	7758114	1
ENSG00000171160	10	99374310	99393852	-1
ENSG00000128917	15	41221538	41231237	1
ENSG00000128965	15	41245160	41248710	1
ENSG00000020129	1	36023074	36032875	1
ENSG00000181036	1	159770301	159786041	1
ENSG00000128908	15	41271078	41408552	-1
ENSG00000149084	11	43577986	43878167	1
ENSG00000119986	10	99437181	99447080	-1
ENSG00000155254	10	99472930	99484694	1
ENSG00000157326	14	24422795	24438488	1
ENSG00000167874	17	7758383	7759417	1
ENSG00000183011	17	7760003	7788591	-1
ENSG00000155256	10	99496878	99520663	1
ENSG00000166199	11	43902361	43941816	1
ENSG00000178997	15	41474923	41522941	-1
ENSG00000079691	6	25279306	25620758	1
ENSG00000182224	17	7761064	7765600	1
ENSG00000187446	15	41523037	41574043	1
ENSG00000170004	17	7788124	7816078	1
ENSG00000104147	15	41601466	41624819	-1
ENSG00000137804	15	41624892	41673248	1
ENSG00000116819	1	36038971	36060929	1
ENSG00000126067	1	36067185	36107445	-1
ENSG00000142686	1	36179476	36185073	-1
ENSG00000205126	11	44069531	44081527	1
ENSG00000092853	1	36185819	36235568	-1
ENSG00000079689	6	25652464	25702011	1
ENSG00000110455	11	44087475	44105772	1
ENSG00000137806	15	41679551	41694717	-1
ENSG00000186648	14	24521206	24538937	1
ENSG00000137815	15	41700606	41775761	1
ENSG00000120057	10	99526508	99531709	-1
ENSG00000164508	6	25726291	25726790	-1
ENSG00000146047	6	25727137	25727573	1
ENSG00000151348	11	44117099	44266979	1
ENSG00000079785	2	15731302	15771225	1
ENSG00000137825	15	41785591	41795747	1
ENSG00000062524	15	41795836	41806085	-1
ENSG00000170049	17	7825177	7833121	-1
ENSG00000146039	6	25754927	25781419	1
ENSG00000155265	10	99609996	99627782	1
ENSG00000170043	17	7833663	7835441	-1
ENSG00000095713	10	99624757	99790585	-1
ENSG00000170037	17	7835419	7853236	1
ENSG00000158710	1	159887897	159895522	-1
ENSG00000103932	15	41809374	41836467	-1
ENSG00000124568	6	25783125	25832287	-1
ENSG00000052850	11	44281994	44331716	-1
ENSG00000085117	11	44585977	44641913	1
ENSG00000092847	1	36335409	36395211	1
ENSG00000100884	14	24540046	24547309	1
ENSG00000092445	15	41849873	41871536	1
ENSG00000126070	1	36396319	36522063	1
ENSG00000157570	11	44748015	44953972	1
ENSG00000174197	15	41913422	42062141	1
ENSG00000132518	17	7905912	7923657	1
ENSG00000179593	17	7942335	7952452	1
ENSG00000124564	6	25833294	25882514	-1
ENSG00000118965	2	20110021	20189892	-1
ENSG00000137802	15	42066632	42120053	1
ENSG00000175274	11	44907454	44972840	-1
ENSG00000134323	2	16080686	16087129	1
ENSG00000166024	10	99894387	100004654	1
ENSG00000197872	2	16730727	16847599	-1
ENSG00000179477	17	7975954	7991021	-1
ENSG00000092850	1	36549676	36553876	1
ENSG00000112337	6	25912982	25930946	-1
ENSG00000119946	10	101088856	101154087	1
ENSG00000143315	1	159997462	160001783	-1
ENSG00000138131	10	100007447	100028007	-1
ENSG00000179148	17	7999218	8022365	-1
ENSG00000177807	1	160007257	160040038	-1
ENSG00000162728	1	160051360	160060353	1
ENSG00000019485	11	45115564	45247734	1
ENSG00000112343	6	25963030	25985348	1
ENSG00000162729	1	160061130	160068733	-1
ENSG00000116863	1	36554476	36559533	1
ENSG00000214842	2	17691851	17699706	-1
ENSG00000019505	11	45261852	45307870	-1
ENSG00000163032	2	17720393	17838285	1
ENSG00000175264	11	45670427	45687172	-1
ENSG00000124610	6	26017260	26018040	-1
ENSG00000129535	14	24549316	24584223	-1
ENSG00000179111	17	8023908	8027410	-1
ENSG00000171812	1	36560837	36590821	-1
ENSG00000181830	11	45825623	45834566	1
ENSG00000163029	2	17845079	17981509	-1
ENSG00000179094	17	8043790	8059824	-1
ENSG00000120053	10	101156627	101190381	-1
ENSG00000054116	1	36602173	36615098	-1
ENSG00000100889	14	24563262	24579807	1
ENSG00000121671	11	45868669	45904798	1
ENSG00000119943	10	100143322	100174941	-1
ENSG00000132031	2	20191872	20212455	-1
ENSG00000187837	6	26055968	26056699	-1
ENSG00000010704	6	26087509	26098571	1
ENSG00000155287	10	101370282	101380535	-1
ENSG00000116871	1	36621180	36646450	1
ENSG00000068697	2	20232411	20251789	-1
ENSG00000018625	1	160085549	160113381	1
ENSG00000026950	6	26402465	26415444	1
ENSG00000121653	11	45907202	45928016	1
ENSG00000198018	10	101419263	101465997	1
ENSG00000100908	14	24608174	24610797	-1
ENSG00000220205	17	8062467	8066864	-1
ENSG00000234776	11	45928085	45928833	-1
ENSG00000121680	11	45931220	45940363	-1
ENSG00000107521	10	100175955	100206684	-1
ENSG00000162735	1	160246602	160256138	-1
ENSG00000119929	10	101462315	101515891	1
ENSG00000115884	2	20400558	20425194	-1
ENSG00000196544	17	8091652	8093564	-1
ENSG00000178999	17	8108056	8113918	-1
ENSG00000100911	14	24612574	24616779	-1
ENSG00000055917	2	20448452	20551995	-1
ENSG00000165905	11	45943172	45950647	1
ENSG00000054118	1	36690017	36770958	1
ENSG00000014919	10	101471601	101491866	-1
ENSG00000178295	2	17935125	17966632	1
ENSG00000132681	1	160121360	160156767	1
ENSG00000122218	1	160259063	160313190	-1
ENSG00000197061	6	26104104	26104518	1
ENSG00000187475	6	26107640	26108364	-1
ENSG00000180596	6	26115129	26124154	-1
ENSG00000151379	2	17997763	17998368	1
ENSG00000170745	2	18059114	18542882	1
ENSG00000180573	6	26124373	26139336	1
ENSG00000168298	6	26156559	26157343	1
ENSG00000158373	6	26158349	26171577	1
ENSG00000240857	2	18735989	18741946	-1
ENSG00000092098	14	24615892	24629870	1
ENSG00000196866	6	26199079	26199471	-1
ENSG00000185013	2	18744138	18770838	-1
ENSG00000143318	1	160160285	160171676	1
ENSG00000143878	2	20646835	20649200	1
ENSG00000124575	6	26234440	26235216	-1
ENSG00000118960	2	20760208	20850849	-1
ENSG00000172987	10	100218875	100995619	-1
ENSG00000143869	2	20866424	20873418	1
ENSG00000158406	6	26281283	26285762	-1
ENSG00000118961	2	20883803	21022882	-1
ENSG00000143867	2	19551246	19558414	-1
ENSG00000162736	1	160313062	160328742	1
ENSG00000162734	1	160175127	160185166	1
ENSG00000183891	2	20096404	20101747	-1
ENSG00000084674	2	21224301	21266945	-1
ENSG00000213928	14	24630262	24635774	1
ENSG00000112812	6	27215480	27224403	1
ENSG00000107566	10	101909851	101948091	-1
ENSG00000218819	2	21346789	21366144	1
ENSG00000158477	1	158223927	158228059	1
ENSG00000119771	2	23608088	23931481	1
ENSG00000115758	2	10580094	10588630	-1
ENSG00000100918	14	24641062	24649463	1
ENSG00000158481	1	158259576	158263420	1
ENSG00000171311	10	99190928	99205774	-1
ENSG00000171786	1	160336857	160342638	1
ENSG00000213341	10	101948055	101989376	-1
ENSG00000215277	14	23654525	23742686	1
ENSG00000162738	1	160370376	160398468	1
ENSG00000158485	1	158297741	158301321	-1
ENSG00000137393	6	18368779	18469105	1
ENSG00000115761	2	10710892	10830101	-1
ENSG00000158553	6	27253682	27279949	-1
ENSG00000124613	6	27342394	27371683	1
ENSG00000162739	1	160454820	160493052	-1
ENSG00000158488	1	158323254	158327343	1
ENSG00000187026	21	32119112	32119551	-1
ENSG00000187005	21	32127439	32127746	-1
ENSG00000183640	21	32185016	32185570	-1
ENSG00000096654	6	27418522	27440897	-1
ENSG00000182591	21	32252966	32253874	-1
ENSG00000156299	21	32361860	32932290	-1
ENSG00000185130	6	27775257	27775709	-1
ENSG00000196747	6	27775899	27776429	1
ENSG00000155307	21	15857549	15955723	-1
ENSG00000172197	6	20100935	20212670	-1
ENSG00000215271	14	23743250	23755326	-1
ENSG00000066294	1	160510885	160549306	-1
ENSG00000235194	14	23765112	23772057	-1
ENSG00000120049	10	103585731	103603677	-1
ENSG00000095485	10	101992050	102027437	-1
ENSG00000173960	2	24150155	24227779	1
ENSG00000233822	6	27806323	27819974	1
ENSG00000112242	6	20402398	20493941	1
ENSG00000129473	14	23767999	23780968	1
ENSG00000143226	1	161475220	161493803	1
ENSG00000184357	6	27834570	27835359	-1
ENSG00000196497	14	24649425	24658170	-1
ENSG00000171307	10	99205927	99217127	1
ENSG00000092009	14	24974559	24977471	-1
ENSG00000258643	14	23776044	23794578	1
ENSG00000145996	6	20534688	21232635	1
ENSG00000180530	21	16333556	16437321	-1
ENSG00000205639	2	24232951	24286191	1
ENSG00000197153	6	27858093	27860884	-1
ENSG00000100836	14	23790498	23795394	1
ENSG00000100448	14	25042728	25045466	-1
ENSG00000100450	14	25075686	25078905	-1
ENSG00000155313	21	17102344	17252377	1
ENSG00000143882	2	10861775	10925236	1
ENSG00000100453	14	25100160	25103473	-1
ENSG00000092096	14	23815515	23822121	-1
ENSG00000173110	1	161494036	161496681	1
ENSG00000124657	6	27925019	27925960	1
ENSG00000197279	6	28048753	28057341	1
ENSG00000203747	1	161511549	161600917	-1
ENSG00000163026	2	24252210	24272445	-1
ENSG00000124766	6	21593972	21598847	1
ENSG00000117090	1	160577890	160617085	-1
ENSG00000168952	14	25278862	25519503	-1
ENSG00000196812	6	28092338	28097860	1
ENSG00000198315	6	28109716	28124089	1
ENSG00000143870	2	10923517	10978103	-1
ENSG00000196072	10	102033713	102046469	-1
ENSG00000119782	2	24272571	24286551	1
ENSG00000172179	6	22287480	22297730	-1
ENSG00000137185	6	28192664	28201260	1
ENSG00000139910	14	26912299	27066960	-1
ENSG00000117091	1	160648536	160681641	-1
ENSG00000206102	21	32410478	32410795	-1
ENSG00000107593	10	102047903	102090243	-1
ENSG00000072694	1	161551101	161648444	1
ENSG00000186306	1	158368312	158369256	-1
ENSG00000180708	1	158389718	158390656	-1
ENSG00000112273	6	22569678	22571892	1
ENSG00000198965	1	158449668	158450675	1
ENSG00000197532	1	158516918	158517895	-1
ENSG00000142168	21	33031935	33041244	1
ENSG00000026751	1	160709037	160724611	1
ENSG00000152954	6	24126350	24156424	1
ENSG00000186440	1	158532441	158533394	-1
ENSG00000173557	2	26785450	26802400	1
ENSG00000187626	6	28212401	28227011	-1
ENSG00000100842	14	23825611	23834961	-1
ENSG00000157884	2	26804070	26864236	-1
ENSG00000189134	6	28227098	28228736	1
ENSG00000198967	1	158576229	158577170	1
ENSG00000163554	1	158580278	158656488	-1
ENSG00000156304	21	33043313	33104431	-1
ENSG00000137338	6	28249314	28270326	1
ENSG00000110427	11	33563618	33695648	1
ENSG00000154639	21	18884700	18965897	1
ENSG00000171303	2	26915619	26956288	1
ENSG00000146038	6	24171984	24358280	-1
ENSG00000162520	1	33145507	33169197	-1
ENSG00000213699	2	26987152	27004099	1
ENSG00000235109	6	28292470	28324048	-1
ENSG00000166090	14	23842018	23845612	1
ENSG00000215041	17	7218947	7232712	-1
ENSG00000162522	1	33207486	33240571	1
ENSG00000176165	14	29235050	29238870	1
ENSG00000120029	10	103605356	103815950	-1
ENSG00000205177	11	33719807	33722347	-1
ENSG00000085063	11	33719807	33757991	-1
ENSG00000134684	1	33240840	33283754	-1
ENSG00000166091	14	23846017	23848981	1
ENSG00000184304	14	30045687	30661104	-1
ENSG00000146049	6	24357131	24358512	1
ENSG00000184709	9	140063210	140064503	-1
ENSG00000185863	9	140065310	140066861	-1
ENSG00000124532	6	24403153	24425810	1
ENSG00000176248	9	140069236	140082989	-1
ENSG00000115163	2	26987157	27023935	1
ENSG00000116497	1	33282368	33324476	1
ENSG00000155229	10	99218081	99258551	-1
ENSG00000110429	11	33762485	33796089	-1
ENSG00000157851	2	27070615	27173219	1
ENSG00000166189	10	103825147	103827792	1
ENSG00000198728	10	103867317	103880210	-1
ENSG00000072818	17	7239848	7254797	1
ENSG00000092140	14	31028329	31089269	1
ENSG00000197616	14	23851199	23877486	-1
ENSG00000176101	9	140083099	140084822	1
ENSG00000160097	1	33327869	33338083	-1
ENSG00000142149	21	33245628	33416946	1
ENSG00000162975	2	11052063	11054350	1
